Standard draw		
Sprites	Frames	SD
50	199.75	0.31
100	225.6	0.02
200	208.1	0.17
500	151.55	0.03
1000	118.05	0.05
2000	75.05	0.14
5000	36.6	0.08
10000	20.7	0.05
		
Alpha draw		
Sprites	Frames	SD
50	201.9	0.4
100	225.8	0.28
200	205.05	0.37
500	148.25	0.34
1000	101.05	0.29
2000	62	0.2
5000	30.3	0.1
10000	16.55	0.04
		
Rotating draw		
Sprites	Frames	SD
50	190.55	0.25
100	225.2	0.05
200	205.75	0.23
500	149.25	0.25
1000	115.55	0.32
2000	73.35	0.22
5000	35.55	0.11
10000	20.45	0.05
		
Moving draw		
Sprites	Frames	SD
50	199.1	0.23
100	225.25	0.03
200	208	0.17
500	151.65	0.06
1000	116.55	0.24
2000	75.25	0.18
5000	36.95	0.07
10000	20.75	0.05
