Standard draw		
Sprites	Frames	SD
50	4395.25	4.58
100	4322.6	3.1
200	4084.95	3.81
500	3500.25	4
1000	2572.15	1.67
2000	1525.4	1.05
5000	675.5	0.34
10000	360.5	0.11
		
Alpha draw		
Sprites	Frames	SD
50	4401.2	4.54
100	4283.8	2.44
200	4084.6	3.13
500	3486.9	5.73
1000	2642.75	4.67
2000	1522.85	1.46
5000	675.2	0.49
10000	359.95	0.14
		
Rotating draw		
Sprites	Frames	SD
50	4420.3	5.31
100	4346.1	4.11
200	4139.05	3.51
500	3061.6	5.6
1000	1896.7	2.22
2000	1090.55	0.77
5000	472.8	0.25
10000	246.45	0.11
		
Moving draw		
Sprites	Frames	SD
50	4406.4	4.51
100	4301.8	4.17
200	4113.15	4.42
500	3230.15	5.48
1000	1999.9	3.13
2000	1161.1	0.94
5000	502.3	0.12
10000	264.6	0.05
