Standard draw		
Sprites	Frames	SD
50	3051.5	0.53
100	2958.1	0.46
200	2737.9	0.44
500	2136.9	0.52
1000	1562.6	0.56
2000	983	1.17
5000	481.45	0.83
10000	259.15	0.38
		
Alpha draw		
Sprites	Frames	SD
50	3040.2	0.66
100	2962.25	0.39
200	2738.85	0.51
500	2098.4	0.49
1000	1518.85	0.69
2000	957.15	1.07
5000	461.8	0.69
10000	248.35	0.44
		
Rotating draw		
Sprites	Frames	SD
50	3035.7	0.5
100	2959	0.37
200	2732.8	0.5
500	2113.45	0.65
1000	1390.45	0.46
2000	795.75	0.21
5000	356.75	0.05
10000	185.1	0.03
		
Moving draw		
Sprites	Frames	SD
50	3057.3	0.4
100	2966.8	0.41
200	2747.1	0.44
500	2148.5	0.67
1000	1465.6	0.64
2000	844.3	0.13
5000	381.55	0.07
10000	198.45	0.05
