Standard draw		
Sprites	Frames	SD
50	4687.4	0.48
100	4579.4	0.51
200	4242.15	0.41
500	3707.7	0.23
1000	2797.95	0.36
2000	1959.25	0.11
5000	978.1	0.25
10000	528.85	0.11
		
Alpha draw		
Sprites	Frames	SD
50	4658.45	0.45
100	4560.8	0.44
200	4234.05	0.73
500	3697.9	0.21
1000	2782.55	0.09
2000	1862.9	0.45
5000	939.45	0.52
10000	500.1	0.06
		
Rotating draw		
Sprites	Frames	SD
50	4659.95	0.45
100	4574.8	0.39
200	4231.35	0.58
500	3559.65	1.1
1000	2571.4	1.06
2000	1535.1	3.15
5000	641	1.26
10000	321.7	0.63
		
Moving draw		
Sprites	Frames	SD
50	4691.85	0.19
100	4582.5	0.3
200	4258.45	0.61
500	3709.55	0.2
1000	2847.9	0.66
2000	1965.9	0.64
5000	988.8	0.33
10000	508.8	0.93
