Standard draw		
Sprites	Frames	SD
50	4776.65	8.92
100	4607.5	1.26
200	4085.8	2.98
500	2254.25	6.77
1000	1202.9	3.18
2000	611.2	2.19
5000	245.55	0.88
10000	120.85	0.66
		
Alpha draw		
Sprites	Frames	SD
50	4875.4	11.89
100	4610.1	1.17
200	4099.55	3.25
500	2239.2	6.33
1000	1182.15	4.97
2000	593.65	3.22
5000	239.95	1.35
10000	118.5	0.72
		
Rotating draw		
Sprites	Frames	SD
50	4827.9	10.07
100	4605.25	1.22
200	4047.65	4.62
500	2125.7	6.47
1000	1149	3.53
2000	568.15	3.27
5000	230.2	1.16
10000	114.2	0.57
		
Moving draw		
Sprites	Frames	SD
50	4729.7	2.47
100	4601.05	1.24
200	4035.45	4.84
500	2145.95	6.07
1000	1172.85	3.72
2000	575.25	3.76
5000	231.7	1.41
10000	116.65	0.63
