Standard draw		
Sprites	Frames	SD
50	1494.05	0.23
100	1390.55	0.07
200	980.95	0.14
500	429.4	0.03
1000	221.1	0.01
2000	112.85	0
5000	45.25	0
10000	22	0
		
Alpha draw		
Sprites	Frames	SD
50	1466.45	0.34
100	1355.6	0.44
200	982.25	0.19
500	429.8	0.03
1000	221.75	0.03
2000	112.95	0
5000	45.15	0
10000	22	0
		
Rotating draw		
Sprites	Frames	SD
50	1491.55	0.58
100	1386.55	0.05
200	904.7	0.11
500	397.05	0.03
1000	204.3	0.05
2000	105	0
5000	42	0
10000	20.95	0
		
Moving draw		
Sprites	Frames	SD
50	1507.75	0.85
100	1398.05	0.43
200	963.85	0.23
500	423.15	0.03
1000	218.7	0.06
2000	111	0
5000	45.1	0
10000	22	0
