Standard draw		
Sprites	Frames	SD
50	231.6	0.16
100	291.2	0.78
200	222.7	0.3
500	148.35	0.25
1000	90.45	0.1
2000	52.35	0.06
5000	23.95	0.02
10000	12.95	0
		
Alpha draw		
Sprites	Frames	SD
50	229.65	0.1
100	248.3	0.29
200	199.45	0.08
500	120.3	0.12
1000	75.6	0.06
2000	41.95	0.05
5000	19.9	0.01
10000	10.95	0
		
Rotating draw		
Sprites	Frames	SD
50	209.85	0.13
100	273.35	0.63
200	215.15	0.29
500	129.9	0.02
1000	83.6	0.03
2000	46.25	0.02
5000	20.95	0
10000	11	0
		
Moving draw		
Sprites	Frames	SD
50	294.45	0
100	294.7	0.17
200	224.2	0.05
500	149.95	0.01
1000	91.95	0.01
2000	53.65	0.02
5000	24.8	0.02
10000	13.25	0.02
