Standard draw		
Sprites	Frames	SD
50	2489.55	1.15
100	2190.65	0.7
200	1910.35	0.28
500	1535.75	0.39
1000	868.3	0.46
2000	451.4	0.11
5000	186.8	0.04
10000	94.55	0
		
Alpha draw		
Sprites	Frames	SD
50	2503.75	0.76
100	2198	0.71
200	1915.7	0.17
500	1521.8	0.45
1000	873.85	0.32
2000	453.5	0.1
5000	188.1	0.02
10000	95	0.02
		
Rotating draw		
Sprites	Frames	SD
50	2479.2	0.78
100	2139	0.56
200	1902.65	0.25
500	1506.1	0.51
1000	829.3	0.35
2000	430.35	0.11
5000	178.05	0.03
10000	89.7	0
		
Moving draw		
Sprites	Frames	SD
50	2495.55	0.94
100	2169	0.91
200	1912.85	0.18
500	1529.95	0.67
1000	847.25	0.41
2000	440.1	0.08
5000	181.95	0.04
10000	92	0.02

