Standard draw		
Sprites	Frames	SD
50	1241.6	1.31
100	1171.1	0.95
200	1000.05	0.49
500	719.6	0.27
1000	492.3	0.15
2000	301.65	0.01
5000	140	0
10000	74	0
		
Alpha draw		
Sprites	Frames	SD
50	1210.15	0.61
100	1130	0.67
200	954.15	0.51
500	672.45	0.13
1000	450.65	0.03
2000	271.35	0.01
5000	124	0
10000	65	0
		
Rotating draw		
Sprites	Frames	SD
50	1229.7	0.91
100	1167.85	0.62
200	998.05	0.75
500	720.1	0.27
1000	491.45	0.06
2000	301.15	0.02
5000	139.8	0
10000	74	0
		
Moving draw		
Sprites	Frames	SD
50	1236.45	0.82
100	1170.65	0.71
200	1009.05	0.76
500	729.2	0.34
1000	498.6	0.16
2000	306.95	0.04
5000	142.65	0
10000	75.2	0
