Standard draw		
Sprites	Frames	SD
50	239.35	3.13
100	278.15	3
200	256.7	1.77
500	218.8	1.12
1000	140.55	0.79
2000	72.55	0.19
5000	31.1	0.06
10000	16.65	0.01
		
Alpha draw		
Sprites	Frames	SD
50	235.15	0.66
100	269.05	0.94
200	260.35	1.1
500	216.95	0.81
1000	136	0.51
2000	69.7	0.19
5000	30.55	0.07
10000	15.65	0
		
Rotating draw		
Sprites	Frames	SD
50	224	1.26
100	258	1.69
200	249.05	1.61
500	216.3	1.11
1000	134.4	0.46
2000	69.9	0.23
5000	29.7	0.1
10000	15.6	0.02
		
Moving draw		
Sprites	Frames	SD
50	224.8	0.63
100	273.1	0.93
200	268.35	1.18
500	227	1.03
1000	142.05	0.76
2000	71.6	0.16
5000	31.3	0.05
10000	16.65	0.03
