Standard draw		
Sprites	Frames	SD
50	264.05	0.77
100	301.4	0.12
200	291.45	0.74
500	188.1	0.86
1000	124.05	0.7
2000	86.1	0.46
5000	34.3	0.14
10000	17.05	0
		
Alpha draw		
Sprites	Frames	SD
50	258.95	0.73
100	301.25	0.13
200	292.8	0.75
500	188.4	1
1000	121.8	0.53
2000	77.5	0.29
5000	31.55	0.11
10000	15.8	0.01
		
Rotating draw		
Sprites	Frames	SD
50	255.15	0.72
100	300.25	0
200	286.45	0.92
500	174.85	1.17
1000	112.6	0.55
2000	78.55	0.57
5000	29.2	0.09
10000	13.95	0
		
Moving draw		
Sprites	Frames	SD
50	297.65	0.56
100	303.45	0.29
200	289.1	0.93
500	186.35	1.13
1000	126.5	0.55
2000	86	0.53
5000	35.6	0.19
10000	17.35	0
