Standard draw		
Sprites	Frames	SD
50	338.4	0.52
100	322	0.7
200	300.3	0
500	229.5	0.07
1000	151	0
2000	99.95	0.02
5000	43.4	0.03
10000	23.35	0.01
		
Alpha draw		
Sprites	Frames	SD
50	323.8	0.71
100	308.25	0.53
200	300.05	0.01
500	202.25	0.04
1000	129.85	0
2000	76	0
5000	34.95	0
10000	18.75	0
		
Rotating draw		
Sprites	Frames	SD
50	315.9	0.37
100	319.6	0.86
200	300.25	0
500	214.2	0.12
1000	144.75	0.07
2000	82.95	0.05
5000	35.55	0.03
10000	18.95	0
		
Moving draw		
Sprites	Frames	SD
50	380.05	0.88
100	332.6	2.37
200	306.25	1.41
500	233.35	0.36
1000	151.7	0.16
2000	99.8	0.05
5000	44.35	0
10000	23.9	0.01
