Standard draw		
Sprites	Frames	SD
50	275.3	0.37
100	299.95	0
200	300.05	0
500	232.7	0.05
1000	174.5	0.33
2000	110.7	0.05
5000	54.55	0.01
10000	30.8	0.01
		
Alpha draw		
Sprites	Frames	SD
50	276.25	0.1
100	300.05	0
200	300	0
500	229	0.05
1000	158.15	0.12
2000	101.15	0
5000	50.95	0.02
10000	28.05	0
		
Rotating draw		
Sprites	Frames	SD
50	271.25	0.08
100	300.1	0
200	300	0
500	232.35	0.09
1000	174.3	0.16
2000	109	0.1
5000	55.1	0
10000	30.2	0
		
Moving draw		
Sprites	Frames	SD
50	274.85	0.07
100	300.05	0
200	299.95	0
500	234.9	0.05
1000	177.65	0.1
2000	113.1	0.04
5000	55.9	0.01
10000	31	0
