Standard draw		
Sprites	Frames	SD
50	1918.3	0.84
100	1671.35	1
200	1346.45	0.55
500	882.2	0.29
1000	557.1	0.05
2000	322.7	0
5000	143	0
10000	74	0
		
Alpha draw		
Sprites	Frames	SD
50	1875.75	1.22
100	1612.5	0.64
200	1290.25	0.28
500	822.1	0.26
1000	510.95	0.12
2000	291.95	0.02
5000	128	0
10000	66	0
		
Rotating draw		
Sprites	Frames	SD
50	1910.5	0.96
100	1672.55	0.76
200	1343.5	0.59
500	880.9	0.23
1000	557.4	0.26
2000	323.25	0.11
5000	142.9	0.04
10000	74.5	0
		
Moving draw		
Sprites	Frames	SD
50	1914.15	1.13
100	1684.25	0.84
200	1351.25	0.39
500	892.95	0.39
1000	567.7	0.23
2000	329.55	0.07
5000	146.4	0.03
10000	76	0.03
