Standard draw		
Sprites	Frames	SD
50	233.1	0.18
100	299.7	0.05
200	279.05	1.1
500	170	0.52
1000	99.55	0.19
2000	55.55	0.1
5000	24.75	0.05
10000	13.6	0.02
		
Alpha draw		
Sprites	Frames	SD
50	231.1	0.19
100	299.1	0.1
200	248.5	0.55
500	149.4	0.21
1000	85.3	0.15
2000	44.85	0.06
5000	20.1	0.03
10000	10.85	0
		
Rotating draw		
Sprites	Frames	SD
50	210.5	0.22
100	299.8	0.01
200	271.7	0.79
500	156.25	0.19
1000	97.35	0.21
2000	53.25	0.11
5000	24.05	0.05
10000	12.9	0
		
Moving draw		
Sprites	Frames	SD
50	227.3	0.12
100	299.65	0.04
200	281.5	0.93
500	168.4	0.45
1000	100.5	0.17
2000	56.35	0.1
5000	25.2	0.05
10000	13.6	0.02
